Timestamp (HH-MM-SS),Time (s),J-2 (center) Thermocouple (°C),TSic AIN0 (°C)
18-20-16,3047.9,17.0286376953125,17.141645073890686
18-20-17,3048.9,17.033001708984376,17.14178317785263
18-20-18,3049.9,17.0198974609375,17.135651111602783
18-20-19,3050.9,17.01063232421875,17.143994092941284
18-20-20,3052.0,17.0044921875,17.140902400016785
18-20-21,3053.0,17.0031005859375,17.138518750667572
18-20-23,3054.0,17.0021728515625,17.13231784105301
18-20-24,3055.0,17.001934814453126,17.131644427776337
18-20-25,3056.0,16.99449462890625,17.12451058626175
18-20-26,3057.0,16.99599609375,17.118309259414673
18-20-27,3058.1,16.99326171875,17.119483768939972
18-20-28,3059.1,16.983148193359376,17.120174288749695
18-20-29,3060.1,16.98348388671875,17.121521532535553
18-20-30,3061.1,16.982958984375,17.122454464435577
18-20-31,3062.1,16.972540283203124,17.12255835533142
18-20-32,3063.2,16.965869140625,17.122782826423645
18-20-33,3064.2,16.961102294921876,17.122195780277252
18-20-34,3065.2,16.958349609375,17.12262761592865
18-20-35,3066.2,16.9597900390625,17.122247517108917
18-20-36,3067.3,16.963006591796876,17.120399177074432
18-20-37,3068.3,16.959454345703126,17.12074464559555
18-20-38,3069.3,16.96019287109375,17.121314585208893
18-20-39,3070.3,16.958001708984376,17.12091737985611
18-20-40,3071.3,16.957330322265626,17.12083101272583
18-20-41,3072.4,16.9554931640625,17.12288671731949
18-20-42,3073.4,16.958087158203124,17.12371575832367
18-20-43,3074.4,16.965081787109376,17.123076558113098
18-20-44,3075.4,16.969818115234375,17.122489094734192
18-20-45,3076.4,16.96866455078125,17.1231107711792
18-20-46,3077.5,16.96934814453125,17.12221246957779
18-20-47,3078.5,16.96776123046875,17.12038165330887
18-20-48,3079.5,16.966864013671874,17.121349215507507
18-20-49,3080.5,16.96585693359375,17.121073007583618
18-20-50,3081.5,16.96575927734375,17.120762169361115
18-20-51,3082.6,16.96571044921875,17.119207561016083
18-20-52,3083.6,16.966607666015626,17.121004164218903
18-20-53,3084.6,16.960748291015626,17.12017512321472
18-20-54,3085.6,16.9565673828125,17.12036496400833
18-20-55,3086.6,16.95882568359375,17.11989849805832
18-20-56,3087.6,16.955419921875,17.1207275390625
18-20-57,3088.7,16.95269775390625,17.118067264556885
18-20-58,3089.7,16.955194091796876,17.120450913906097
18-20-59,3090.7,16.956524658203126,17.122402727603912
18-21-00,3091.7,16.954364013671874,17.122385621070862
18-21-01,3092.7,16.96170654296875,17.124510169029236
18-21-02,3093.7,16.96724853515625,17.1252703666687
18-21-03,3094.8,16.963983154296876,17.123611867427826
18-21-04,3095.8,16.960845947265625,17.120295703411102
